;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2015;Total_vu_2015;Alquiler_mes_vc_m2_2015;Alquiler_mes_vu_m2_2015;Total_vc_2016;Total_vu_2016;Alquiler_mes_vc_m2_2016;Alquiler_mes_vu_m2_2016;Total_vc_2017;Total_vu_2017;Alquiler_mes_vc_m2_2017;Alquiler_mes_vu_m2_2017;Total_vc_2018;Total_vu_2018;Alquiler_mes_vc_m2_2018;Alquiler_mes_vu_m2_2018;Total_vc_2019;Total_vu_2019;Alquiler_mes_vc_m2_2019;Alquiler_mes_vu_m2_2019;Total_vc_2020;Total_vu_2020;Alquiler_mes_vc_m2_2020;Alquiler_mes_vu_m2_2020;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2003;Poblacion_2004;Poblacion_2005;Poblacion_2006;Poblacion_2007;Poblacion_2008;Poblacion_2009;Poblacion_2010;Poblacion_2011;Poblacion_2012;Poblacion_2013;Poblacion_2014;Poblacion_2015;Poblacion_2016;Poblacion_2017;Poblacion_2018;Poblacion_2019;Poblacion_2020;Poblacion_2021;Poblacion_2022;Inmuebles_totales;Viviendas_turisticas_2020;Viviendas_turisticas_2021;Viviendas_turisticas_2022;Turistas_2020;Turistas_2021;Turistas_2022;Total_casas_alquiler_2015;Porcentaje_viviendas_alquiler_2015;Porcentaje_vc_alquiler_2015;Porcentaje_vu_alquiler_2015;Total_casas_alquiler_2016;Porcentaje_viviendas_alquiler_2016;Porcentaje_vc_alquiler_2016;Porcentaje_vu_alquiler_2016;Total_casas_alquiler_2017;Porcentaje_viviendas_alquiler_2017;Porcentaje_vc_alquiler_2017;Porcentaje_vu_alquiler_2017;Total_casas_alquiler_2018;Porcentaje_viviendas_alquiler_2018;Porcentaje_vc_alquiler_2018;Porcentaje_vu_alquiler_2018;Total_casas_alquiler_2019;Porcentaje_viviendas_alquiler_2019;Porcentaje_vc_alquiler_2019;Porcentaje_vu_alquiler_2019;Porcentaje_viviendas_turisticas_2020;Total_casas_alquiler_2020;Porcentaje_viviendas_alquiler_2020;Porcentaje_vc_alquiler_2020;Porcentaje_vu_alquiler_2020;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021;Porcentaje_viviendas_turisticas_2022
Abadín;27;Lugo;27001;136.57777777777778;6.0;2.502693817663434;1.8299053311180595;152.0222222222222;7.0;2.4957823936809445;1.959321430000344;153.14583333333334;6.0;2.6024153758545157;1.959611860616842;154.2156862745098;7.0;2.6310511624117523;1.9117665268964286;164.32;7.0;2.725901717184794;2.1175790074324357;204.6153846153846;11.0;2.7938783308985915;1.34663443346647;0.0;9.0;2.8216744173774844;2.2057685839005488;Galicia;3326.0;3256.0;3201.0;3141.0;3065.0;2988.0;2896.0;2858.0;2811.0;2760.0;2721.0;2646.0;2612.0;2559.0;2490.0;2428.0;2367.0;2322.0;2297.0;2259.0;1662.0;5.0;10.0;6.0;3050.0;2147.0;3102.0;142.57777777777778;8.578686990239337;8.217676159914427;0.36101083032490977;159.0222222222222;9.568124080759459;9.146944778713731;0.42117930204572807;159.14583333333334;9.575561572402728;9.214550742077819;0.36101083032490977;161.2156862745098;9.700101460560157;9.27892215851443;0.42117930204572807;171.32;10.30806257521059;9.886883273164862;0.42117930204572807;0.3008423586040915;215.6153846153846;12.973248171804128;12.311394982875127;0.6618531889290012;0.601684717208183;9.0;0.5415162454873647;0.0;0.5415162454873647;0.36101083032490977
Abanilla;30;Murcia;30001;3.0;7.0;3.0736166448950057;2.676214404939847;2.0;8.0;3.1342862492135133;2.725150412308279;3.0;12.0;3.217935550880013;1.52439024390244;6.0;13.0;3.3110250210874272;1.61537105906746;5.0;13.0;3.4832650967241126;1.53125440480914;15.0;22.0;3.03691106072058;1.54639175257732;20.0;27.0;3.01635021097046;2.5;Murcia, Región de;6239.0;6145.0;6265.0;6333.0;6568.0;6642.0;6589.0;6585.0;6633.0;6569.0;6560.0;6435.0;6347.0;6184.0;6158.0;6063.0;6127.0;6097.0;6116.0;6146.0;4483.0;18.0;34.0;35.0;15516.0;23013.0;39933.0;10.0;0.2230649118893598;0.06691947356680794;0.15614543832255187;10.0;0.2230649118893598;0.04461298237787196;0.17845192951148783;15.0;0.3345973678340397;0.06691947356680794;0.26767789426723176;19.0;0.4238233325897836;0.13383894713361588;0.2899843854561677;18.0;0.40151684140084765;0.1115324559446799;0.2899843854561677;0.40151684140084765;37.0;0.8253401739906313;0.3345973678340397;0.49074280615659155;0.7584207004238234;47.0;1.0484050858799911;0.4461298237787196;0.6022752621012715;0.7807271916127593
Abarán;30;Murcia;30002;98.0;21.0;2.38898734177215;2.6695222007722;119.0;26.0;2.57745983935743;2.72727272727273;146.0;30.0;2.72727272727273;2.72727272727273;154.0;31.0;2.75229357798165;2.48456790123457;157.0;30.0;2.79100630866287;2.94117647058824;188.0;54.0;2.96116504854369;2.72727272727273;193.0;52.0;3.0;2.87648538738657;Murcia, Región de;12786.0;12804.0;12917.0;12919.0;12968.0;12987.0;12991.0;12974.0;12986.0;13110.0;13157.0;13086.0;13179.0;13183.0;13089.0;13030.0;12964.0;13022.0;13066.0;12992.0;6615.0;1.0;8.0;11.0;11442.0;3356.0;6240.0;119.0;1.7989417989417988;1.4814814814814814;0.31746031746031744;145.0;2.1919879062736207;1.7989417989417988;0.3930461073318216;176.0;2.6606198034769464;2.2071050642479215;0.45351473922902497;185.0;2.796674225245654;2.328042328042328;0.46863189720332576;187.0;2.8269085411942556;2.3733938019652308;0.45351473922902497;0.015117157974300832;242.0;3.6583522297808013;2.8420256991685564;0.8163265306122449;0.12093726379440665;245.0;3.7037037037037037;2.9176114890400604;0.7860922146636432;0.16628873771730915
Abegondo;15;Coruña, A;15001;5.0;24.0;3.116877760095208;2.21518987341772;7.0;33.0;3.1410875702153205;2.51342246552269;8.0;37.0;3.199912672862533;2.69494041159647;8.0;43.0;3.2851713706038828;2.64800407925408;6.0;40.0;3.4416382177544147;2.77355623100304;7.0;60.0;3.5857660396338327;3.2;7.0;56.0;3.66003568353889;3.47360696517413;Galicia;5761.0;5732.0;5756.0;5773.0;5808.0;5822.0;5798.0;5765.0;5709.0;5709.0;5664.0;5585.0;5586.0;5533.0;5467.0;5454.0;5406.0;5398.0;5494.0;5534.0;3127.0;8.0;17.0;21.0;1611.0;4365.0;6220.0;29.0;0.9274064598656859;0.1598976654940838;0.7675087943716021;40.0;1.2791813239526704;0.2238567316917173;1.055324592260953;45.0;1.4390789894467542;0.25583626479053406;1.18324272465622;51.0;1.6309561880396546;0.25583626479053406;1.3751199232491205;46.0;1.4710585225455708;0.19187719859290053;1.2791813239526704;0.25583626479053406;67.0;2.1426287176207226;0.2238567316917173;1.9187719859290053;0.5436520626798849;63.0;2.0147105852254557;0.2238567316917173;1.7908538535337384;0.6715701950751519
Abrera;8;Barcelona;8001;256.0;114.0;5.46432432432432;5.55555555555556;309.0;128.0;5.48362846642165;5.59211622807018;316.0;140.0;5.89223744292237;5.80357142857143;351.0;150.0;6.25;5.83333333333333;342.0;143.0;6.67735042735043;6.95542093941537;374.0;153.0;6.78294573643411;6.73408307636496;383.0;140.0;7.14285714285714;7.05411915204678;Cataluña;9166.0;9422.0;9839.0;10244.0;10840.0;11278.0;11521.0;11469.0;11611.0;11870.0;12055.0;12125.0;12071.0;12216.0;12363.0;12334.0;12489.0;12538.0;12620.0;12697.0;5344.0;13.0;24.0;29.0;41960.0;43430.0;43153.0;370.0;6.923652694610778;4.790419161676646;2.1332335329341316;437.0;8.177395209580839;5.782185628742515;2.395209580838323;456.0;8.532934131736527;5.913173652694611;2.6197604790419162;501.0;9.375;6.5681137724550895;2.80688622754491;485.0;9.07559880239521;6.399700598802395;2.6758982035928143;0.2432634730538922;527.0;9.861526946107784;6.998502994011976;2.8630239520958085;0.4491017964071856;523.0;9.786676646706587;7.166916167664671;2.6197604790419162;0.5426646706586826
Adamuz;14;Córdoba;14001;2.0;5.0;3.0543645717108654;2.5828018060660445;2.0;3.0;3.023512087878431;2.517926960698306;3.0;5.0;3.0720423996617807;2.620825810791487;3.0;3.0;3.01124132212814;2.5854123197561827;1.0;5.0;3.2056077203389197;2.6788256256344427;3.0;12.0;3.3131299823142126;2.44052064440414;2.0;12.0;3.3556591234157507;2.50386635745874;Andalucía;4423.0;4397.0;4443.0;4476.0;4469.0;4472.0;4419.0;4414.0;4467.0;4446.0;4368.0;4398.0;4317.0;4270.0;4236.0;4185.0;4192.0;4137.0;4141.0;4125.0;2030.0;1.0;0.0;2.0;2040.0;2487.0;2847.0;7.0;0.3448275862068966;0.09852216748768473;0.24630541871921183;5.0;0.24630541871921183;0.09852216748768473;0.1477832512315271;8.0;0.39408866995073893;0.1477832512315271;0.24630541871921183;6.0;0.2955665024630542;0.1477832512315271;0.1477832512315271;6.0;0.2955665024630542;0.04926108374384237;0.24630541871921183;0.04926108374384237;15.0;0.7389162561576355;0.1477832512315271;0.5911330049261084;0.0;14.0;0.6896551724137931;0.09852216748768473;0.5911330049261084;0.09852216748768473
Adeje;38;Santa Cruz de Tenerife;38001;641.0;165.0;6.61764705882353;5.848594664647919;740.5;188.5;6.81818181818182;6.05392156862745;800.0;205.5;7.07547169811321;6.179423447870426;846.0;221.5;7.5;6.409360721682227;857.0;225.0;8.33333333333333;6.971735536893872;1007.5;280.0;8.05427377773724;7.2533276359836245;994.0;283.5;8.40909090909091;7.45162822330126;Canarias;27062.25;27568.875;28349.375;28870.0;29602.25;30050.75;30496.75;30889.75;31108.5;31420.0;31512.5;31486.5;31552.0;31416.0;31612.5;32024.5;32220.5;32534.5;32642.0;32878.5;17032.5;120.5;238.5;246.0;56295.0;63498.5;87215.5;827.2611940298507;6.484819528297789;4.9341962385440645;1.5506232897537244;908.6901408450705;7.310081223124701;5.555314250966425;1.7547669721582766;991.0;7.978977544194936;6.050471267862572;1.9285062763323633;1050.5;8.12665595274291;6.224210572036659;1.9024453807062502;1101.5;8.300395256916996;6.285019328497589;2.015375928419407;2.164064738601302;1289.5;10.068192676888328;7.6749337618902835;2.393258914998045;4.221006802768348;1288.0;10.13334491595361;8.135342917951613;1.998001998001998;4.391076458889331
Adra;4;Almería;4003;114.0;11.0;3.36842105263158;2.2361385905408;130.0;16.0;3.27380952380952;2.38805970149254;152.0;16.0;3.35249042145594;2.98611111111111;148.0;19.0;3.41280972417017;2.77565571683219;127.0;20.0;3.29235753764056;3.03030303030303;193.0;29.0;3.49803921568627;2.581929236341;214.0;33.0;3.58571428571429;2.96052631578947;Andalucía;21704.0;22257.0;23195.0;23545.0;23742.0;23880.0;24373.0;24512.0;24512.0;24626.0;24761.0;24782.0;24670.0;24713.0;24697.0;24859.0;25148.0;25412.0;25501.0;25300.0;12925.0;25.0;46.0;56.0;23220.0;18357.0;28893.0;125.0;0.9671179883945842;0.8820116054158608;0.0851063829787234;146.0;1.1295938104448742;1.0058027079303675;0.12379110251450677;168.0;1.299806576402321;1.1760154738878144;0.12379110251450677;167.0;1.2920696324951644;1.1450676982591876;0.1470019342359768;147.0;1.137330754352031;0.9825918762088974;0.15473887814313347;0.19342359767891681;222.0;1.7176015473887813;1.493230174081238;0.22437137330754353;0.35589941972920697;247.0;1.9110251450676983;1.6557059961315281;0.2553191489361702;0.4332688588007737
Adrada, La;5;Ávila;5002;28.0;30.0;2.5;3.13432835820896;30.0;39.0;2.73097273097273;3.19040697674419;36.0;36.0;2.76315789473684;3.25581395348837;39.0;40.0;2.68259426976532;3.13432835820896;35.0;41.0;2.91986359761296;3.43170239354032;62.0;59.0;3.02631578947368;3.4618399339934;66.0;65.0;3.1772819534359;3.67621527777778;Castilla y León;2025.0;2155.0;2264.0;2385.0;2469.0;2673.0;2734.0;2702.0;2680.0;2704.0;2705.0;2663.0;2640.0;2619.0;2583.0;2517.0;2480.0;2539.0;2757.0;2750.0;3980.0;16.0;37.0;55.0;679.0;2255.0;2580.0;58.0;1.4572864321608041;0.7035175879396985;0.7537688442211056;69.0;1.7336683417085428;0.7537688442211056;0.9798994974874372;72.0;1.8090452261306533;0.9045226130653267;0.9045226130653267;79.0;1.984924623115578;0.9798994974874372;1.0050251256281406;76.0;1.9095477386934674;0.8793969849246231;1.0301507537688441;0.4020100502512563;121.0;3.040201005025126;1.5577889447236182;1.4824120603015076;0.9296482412060302;131.0;3.291457286432161;1.6582914572864322;1.6331658291457287;1.3819095477386936
Agaete;35;Palmas, Las;35001;44.0;55.0;5.14705882352941;4.91043730640101;53.0;64.0;4.92800348735833;5.0;62.0;75.0;5.14705882352941;5.4526147611254;75.0;79.0;4.94006603502728;5.02100840336134;78.0;87.0;5.3921568627451;5.47282633693804;91.0;107.0;5.55555555555556;5.78328470814184;97.0;111.0;5.80336493987049;6.01701248461403;Canarias;5635.0;5511.0;5606.0;5638.0;5710.0;5765.0;5782.0;5748.0;5776.0;5767.0;5796.0;5656.0;5618.0;5558.0;5526.0;5573.0;5586.0;5599.0;5695.0;5633.0;3042.0;120.5;238.5;246.0;29035.0;32071.0;63415.0;99.0;3.2544378698224854;1.4464168310322156;1.8080210387902695;117.0;3.8461538461538463;1.742274819197896;2.10387902695595;137.0;4.503616042077581;2.0381328073635765;2.465483234714004;154.0;5.062458908612755;2.465483234714004;2.5969756738987506;165.0;5.424063116370808;2.5641025641025643;2.8599605522682445;2.164064738601302;198.0;6.508875739644971;2.9914529914529915;3.517422748191979;4.221006802768348;208.0;6.837606837606837;3.188691650230112;3.648915187376726;4.391076458889331
